,URL,title,text_leicht
11,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-28072023,nils3480.html",Nord·deutschland: Lange Staus am Wochen·ende,Der ADAC warnt Auto·fahrer vor langen Staus am Wochen·ende.ADAC ist die Abkürzung für Allgemeiner Deutscher Automobil-Club.Der ADAC ist ein Verein.Im ADAC sind viele Auto·fahrer.Der ADAC hilft diesen Auto·fahrern.Zum Beispiel:Bei einem Unfall.Oder bei einer Panne.Der ADAC sagt:Auf vielen Straßen im Norden wird es am Wochen·ende sehr voll.Auch heute sind die Straßen schon sehr voll.Zum Beispiel:Auf der Autobahn 7 südlich und nördlich vom Elb·tunnel.Und auf der Autobahn 1 in Richtung Ostsee.Der ADAC sagt auch:Viele Menschen fahren nämlich in den Sommer·urlaub.Zum Beispiel:Menschen aus Bayern.Und Menschen aus Baden-Württemberg.Sie haben nämlich erst jetzt Sommer·ferien bekommen.Und viele Menschen fahren aus dem Sommer·urlaub zurück.Zum Beispiel:Menschen aus Nordrhein-Westfalen.Und Menschen aus Dänemark.Sie haben jetzt nämlich keine Sommer·ferien mehr.
12,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-27072023,nils3478.html",Niedersachsen: 2 Menschen schwer verletzt,In Göttingen war ein Unfall.Göttingen ist eine Stadt im Süden von Niedersachsen.Der Unfall war mit 2 Autos.Bei dem Unfall wurden 2 Menschen schwer verletzt:Ein 56 Jahre alter Mann.Und eine 54 Jahre alte Frau.Die Polizei hat gesagt:Ein Mann ist mit seinem Auto an eine Kreuzung gefahren.An der Kreuzung war ein Stopp·schild.An einem Stopp·schild müssen Auto·fahrer anhalten.Der Mann hat mit seinem Auto aber nicht gehalten.Dann ist er mit einem anderen Auto zusammengestoßen.In dem anderen Auto war eine Frau.Beide Autos wurden über die Straße geschleudert.Der Mann und die Frau wurden in ein Kranken·haus gebracht.Die Polizei hat gesagt:Der Schaden beträgt 30.00 euro.
13,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-27072023,nils3478.html",Mecklenburg-Vorpommern: Haft für Drogen·händler,In Schwerin war ein Prozess.Schwerin ist die Haupt·stadt von Mecklenburg-Vorpommern.Bei dem Prozess hat das Gericht einen Mann verurteilt.Der Mann ist 40 Jahre alt.Und er hat mit Drogen gehandelt.Die Drogen hat er in andere Länder geschickt.Zum Beispiel nach Saudi-Arabien.Saudi-Arabien ist ein Land im Westen von Asien.Deshalb muss der Mann für 4 Jahre ins Gefängnis.
14,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-26072023,nils3476.html",Niedersachsen: Großes Fest in Hannover,Heute Abend beginnt in Hannover ein großes Fest.Dieses Fest ist am Maschsee.Und dieses Fest heißt Maschsee·fest.Es ist jedes Jahr.In diesem Jahr ist das Maschsee·fest bis zum 13. August.Zum Maschsee·fest kommen immer viele Besucher.In diesem Jahr erwarten die Veranstalter 2 Millionen Besucher.Für die Besucher gibt es viele Dinge.Zum Beispiel Musik·konzerte.Und viele Stände.An den Ständen können die Besucher viele verschiedene Sachen kaufen.Zum Beispiel Essen aus verschiedenen Ländern.
15,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-26072023,nils3476.html",Mecklenburg-Vorpommern: Geld·automat gesprengt,In Stralsund war ein Überfall.Stralsund ist eine Stadt im Norden von Mecklenburg-Vorpommern.Der Überfall war in einem Supermarkt.Und der Überfall war in der Nacht.Bei dem Überfall haben Täter einen Geld·automaten in dem Supermarkt gesprengt.Kein Mensch wurde verletzt.Aber die Täter haben große Schäden in dem Supermarkt gemacht.Und sie haben Geld aus dem Geld·automaten gestohlen.Nach dem Überfall sind die Täter geflüchtet.Jetzt sucht die Polizei die Täter.Und die Polizei will zum Beispiel wissen:Wie viele Täter gibt es?Und wie viel Geld haben die Täter gestohlen?
16,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-25072023,nils3474.html",Hamburg: Luft aus Auto·reifen gelassen,Im Stadt·teil Nienstedten haben Klima-Aktivisten eine Aktion gemacht.Klima-Aktivisten kämpfen für den Klima·schutz.Der Klima·schutz soll das Klima schützen.Das Klima ist das Wetter über eine lange Zeit.Die Klima·aktivisten haben die Luft aus den Reifen von 33 Autos gelassen.Und sie haben Zettel an diese Autos gemacht.Auf diesen Zetteln steht:Dieses Auto ist besonders schlecht für das Klima.Es verbraucht nämlich sehr viel Benzin.Die Auto·reifen wurden nicht kaputt gemacht.Die Polizei hat gesagt:Klima·aktivisten haben schon mal so eine Aktion gemacht.Diese Aktion war in der vergangenen Woche.Da haben die Aktivisten die Luft aus 28 Auto·reifen gelassen.
17,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-25072023,nils3474.html",Hamburg: Frau stirbt bei Feuer,Bei einem Feuer im Stadt·teil Altona ist eine Frau gestorben.Diese Frau war 60 Jahre alt.Das Feuer war in der Wohnung von der Frau.Diese Wohnung ist im 4. Stock von einem Mehr·familien·haus.Die Polizei hat gesagt:In der Wohnung haben Möbel in mehreren Zimmern gebrannt.Wir wissen noch nicht:Warum war das Feuer?
18,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-24072023,nils3472.html",Schleswig-Holstein: Feuer in Scheune,Am frühen Montag·morgen war ein großes Feuer.Das Feuer war in Kappeln.Kappeln ist eine Klein·stadt nördlich von Kiel.Und das Feuer war in einer Scheune.Diese Scheune war an der B203.B203 ist die Abkürzung für Bundes·straße 203.Deshalb hat die Polizei einen Teil von der B203 gesperrt.Bei dem Feuer wurde eine Person leicht verletzt.Und das Feuer hat die Scheune zerstört.Jetzt will die Polizei wissen:Warum hat die Scheune gebrannt?Und wie hoch ist der Schaden?
19,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-24072023,nils3472.html",Mecklenburg-Vorpommern: Bundesstraße gesperrt,Am Montag·morgen hat die Polizei einen Teil von der B96 gesperrt.B96 ist die Abkürzung für Bundes·straße 96.Dieser Teil ist zwischen Neubrandenburg und Neustrelitz.Und auf diesem Teil sind jetzt Bau·arbeiten.Die Fahr·bahn wird nämlich erneuert.Und Auto·fahrer müssen auf anderen Straßen fahren.Fach·leute sagen:Die Sperrung dauert bis zum 30. September.Sie wollen wissen:Wo genau ist die Sperrung?Dann ist hier eine Karte:
20,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-21072023,nils3470.html",Hamburg: Dom hat begonnen,"In Hamburg hat heute der Dom begonnen.Der Dom ist ein großes Volks·fest.Auf einem Volks·fest können Menschen viele Dinge machen.Zum Beispiel Karussell fahren.Oder essen und trinken.Der Dom ist auf dem Heiligen·geist·feld.Das Heiligen·geist·feld ist ein großer Platz im Zentrum von Hamburg.Und der Dom ist 3 Mal im Jahr:• Im Frühling.• Im Sommer.• Und im Winter.Bei der Eröffnung vom Sommer·dom ist heute Abend ein Feuer·werk.Und auch an 2 anderen Abenden sind Feuer·werke:• Am 4. August.• Und am 18. August.Die Feuer·werke sind immer um 22.30 Uhr.Der Sommer·dom endet am 20. August.Und beim Sommer·dom sind immer viele Besucher.Im vergangenen Jahr waren 1,8 Millionen Besucher beim Sommer·dom."
