,URL,title,text_leicht
10,https://www.mdr.de/nachrichten-leicht/leichte-sprache-thueringen-sachsen-ehrung-fuer-theaterhaus-und-lofft-leipzig-100.html,Das Theater-Haus Jena und das Theater Lofft Leipzig haben einen Preis gewonnen,"• Das Theater-Haus Jena     • und das Theater Lofft Leipzig haben Preise gewonnen.Der Preis heißt: Theater-Preis des Bundes. Außerdem bekommt jedes Theater 100 Tausend Euro.

Zu dem Theater-Preis für das Lofft in der Stadt Leipzighat die Jury gesagt:Das Lofft ist weltoffen und inklusiv.Das bedeutet zum Beispiel:In dem Theater werden viele verschiedene Theater-Stücke gezeigt.Zum Beispiel: Theater-Stücke aus anderen Ländern.Und es machen viele verschiedene Menschen dabei mit. Zum Beispiel:     • Menschen aus verschiedenen Ländern.    • Oder Menschen mit Behinderung.

Zum Theater-Haus in der Stadt Jena hat die Jury gesagt: Das Theater-Haus arbeitet mit vielen verschiedenen Theater-Gruppen zusammen. Und die Theater-Stücke erzählen Geschichten über viele verschiedene Menschen."
11,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-saechsische-kommunen-erhalten-gelder-fuer-stadtentwicklung-100.html,Die Gemeinden in Sachsen bekommen viel Geld,"Für die Gemeinden in dem Bundes-Land Sachsen soll es sehr viel Geld geben.Das Geld kommt von:    • Sachsen    • und der Europäischen Union.Es ist dafür da:Dass die Menschen gut in Sachsen leben können.Dafür sollen verschiedene Dinge in den Gemeinden gemacht werden.

Das Ministerium für Regional-Entwicklunghat dazu gesagt:Die Gemeinden sollen in den nächsten Jahren Geld bekommen.Das sollen mehr als 180 Millionen Euro sein.

Die Gemeinden wollen damit verschiedene Dinge machen.Besonders in Stadt-Teilen,in denen bis jetzt noch nicht so viel gemacht wurde.Zum Beispiel:    • In der Stadt Borna sollen Dinge       im Stadt-Kultur-Haus neu gemacht werden.    • In Dresden sollen bestimmte Stadt-Teile besser gemacht werden.      Das sind diese Stadt-Teile:          • Johannstadt          • und die Pirnaische Vorstadt.    • In Chemnitz sollen kleine Parks gemacht werden.    • In der Stadt Weisswasser soll es mehr Pflanzen         in der Bahnhofs-Straße geben.    • Und in der Stadt Reichenbach         gibt es Geld für kleine Firmen.

Michael Kretschmer ist Minister-Präsident.Er sagt:Sachsen bekommt seit vielen Jahren Geld.Zum Beispiel von der Europäischen Union.Das ist jetzt seit mehr als 30 Jahren so.Und es waren bis jetzt 20 Milliarden Euro.Damit konnte Sachsen schon viele Dinge machen.Das ist gut für die Menschen,die in Sachsen leben."
12,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-zwickau-wildwechsel-theater-festival-kinder-jugend-100.html,In Zwickau gibt es ein Theater-Festival für Kinder und Jugendliche,"Ab Mittwoch gibt es in der Stadt Zwickauein großes Theater-Festival.Es heißt Wild-Wechsel.Und es wird von der Gruppe Arbeits-Kreis Ost gemacht.Das Theater-Festival ist für Kinder und Jugendliche.Dabei gibt es viel zu sehen.

Am Mittwoch um 15 Uhr gibt es eine große Eröffnungs-Feier.Sie wird vor dem Gebäude Gewand-Haus auf dem Hauptmarkt gemacht.Viele Kinder und Jugendliche machen dabei mit.Es gibt Musik-Gruppen.Und es sind Tanz-Gruppen dabei.

Bei dem Theater-Festival gibt es viele Theater-Gruppen.Sie kommen aus verschiedenen Bundes-Ländern.Aber es sind auch Theater-Gruppen aus Zwickau dabei.Sie zeigen ihre Theater-Stücke in diesen Theatern:    • Theater Plauen-Zwickau,     • Puppen-Theater Zwickau     • und Mondstaub-Theater.

Das Festival geht noch bis zum 19. September."
13,https://www.mdr.de/nachrichten-leicht/leichte-sprache-deutschland-warntag-donnerstag-sirenen-warn-apps-probewarunun-katastrophenschutz-100.html,Am Donnerstag ist Warntag in ganz Deutschland,"In ganz Deutschland wird am Donnerstag ein Probe-Alarm gemacht. Den Probe-Alarm macht das Bundes-Amt für Bevölkerungs-Schutzund Katastrophen-Hilfe. Die Abkürzung dafür ist: BBK.

Um 11 Uhr geht es los. Ungefähr 38 Tausend Sirenen gehen an. Die Warn-Apps auf den Handys machen laute Töne.Radio-Senderund Fernseh-Sender warnen die Menschen.Und auf Anzeige-Tafeln werden Warnungen gezeigt. Zum Beispiel:    • Auf Bahnhöfen,     • in Flughäfen    • oder an Haltestellen von Bus und Bahn

Um 11:45 Uhr gibt es dann überall Entwarnung. Das bedeutet: Der Probe-Alarm ist zu Ende.

Das BBK will mit dem Probe-Alarm prüfen: Ob alle Menschen gewarnt werden können,wenn eine Katastrophe passiert. Zum Beispiel: Eine Flut-Katastrophe.

Eine Flut-Katastrophe ist im Sommer vom Jahr 2021 passiert.Das war in diesen 2 Bundes-Ländern:     • Rheinland-Pfalz    • und Nordrhein-Westfalen. Nicht alle Menschen konnten früh genug gewarnt werden. Deshalb sind sie von der Flut-Katastrophe überrascht worden. Und einige Menschen sind gestorben. Das darf nicht noch einmal passieren.

Die Menschen müssen die Töne von den Sirenen kennenGeorg Maier ist der Innen-Minister vom Bundes-Land Thüringen. Er hat gesagt: In Deutschland gibt es ungefähr 38 Tausend Sirenen. Früher wussten die Menschen:Was die einzelnen Sirenen-Töne bedeuten. Denn es gibt für verschiedene Katastrophen auch verschiedene Sirenen-Töne.Heute kennen viele Menschen die verschiedenen Sirenen-Töne nicht mehr. Deshalb ist es wichtig:dass es diesen Warntag gibt."
14,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-grenze--migranten-illegal-einreise-bundespolizei-100.html,Jeden Tag kommen Flüchtlinge illegal nach Deutschland ,"Flüchtlinge aus vielen verschiedenen Ländern kommen jeden Tag nach Deutschland. Sie wollen in Deutschland leben und arbeiten. Viele von diesen Flüchtlingen kommen illegal. Zum Beispiel über die Länder:    • Polen    • oder Tschechien.

Jeden Tag findet die Bundes-Polizei illegale Flüchtlinge in verschiedenen Grenz-Gebieten.Zum Beispiel: In dem deutsch-tschechischem Grenz-Gebiet. Die Flüchtlinge haben oft kein Gepäck dabei.Und sie haben keine Ausweis-Papiere dabei.

Am Wochen-Ende haben Bundes-Polizisten besonders viele Flüchtlinge gefunden. Das war im Bundes-Land Sachsen.Es waren 300 Flüchtlinge,die illegal nach Deutschland gekommen sind. Außerdem konnte die Bundes-Polizei einige Schleuser fest-nehmen. Sie sind jetzt in Untersuchungs-Haft.

Besonders oft müssen die Bundes-Polizisten von der Bundes-Polizei-Inspektion Berggießhübel zum Einsatz. Das ist im Landkreis Sächsische Schweiz.

    • Im Elbtal,

    • in Pirna    • und im Ost- Erzgebirgemüssen die Bundes-Polizisten oft jede Stunde einen Einsatz machen.

Weil dort viele Flüchtlinge illegal über die Grenze kommen."
15,https://www.mdr.de/nachrichten-leicht/leichte-sprache-basketball-weltmeister-deutschland-100.html,Deutschland ist Weltmeister im Basket-Ball,"Die Basket-Ball Welt-Meisterschaft war vom: 25. August bis zum 10. September im Jahr 2023.Die Basket-Ball-Spiele wurden in den Ländern:    • Philippinen,    • Japan    • und Indonesien gemacht. Viele National-Mannschaften aus vielen Ländern waren dabei.

Am Sonntag war das Finale in der Stadt Manila. Das ist eine große Stadt auf den Philippinen.Im Finale haben die National-Mannschaften gespielt: Die bei der Welt-Meisterschaft die meisten Baket-Ball-Spiele gewonnen hatten. Das waren die National-Mannschaften aus den Ländern:    • Deutschland    • und Serbien.

Und Deutschland hat das Finale gewonnen. Das bedeutet: Deutschland ist jetzt Weltmeister im Basket-Ball.

Das ist der größte Erfolg,den eine Basket-Ball National-Mannschaft bis jetzt hatte.

Denn Deutschland hat noch nie eine Basket-Ball Welt-Meisterschaft gewonnen."
16,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-chemnitz-spielplatz-kunstprojekt100.html,Die Kinder durften bei einem neuen Spielplatz in der Stadt Chemnitz mit-bestimmen,"Die Grund-Schule Albert-Einstein ist in der Stadt Chemnitz. Dort gibt es jetzt einen besonderen Spielplatz. Den Spielplatz haben:    • Schüler    • und Studenten gemeinsam gemacht. Dafür gab es das Kunst-Projekt: Playwall.Das wird so aus-gesprochen: plej wol.

Die Ideen für die Kletter-Geräte hatten Studentenvon der Kunst-Hochschule in Schneeberg. Und die Schüler von der Grund-Schule Albert-Einstein durften mit-bestimmen:Welche Kletter-Gerüste sie auf dem Spielplatz haben wollen.

Am Freitag war die Übergabe. Die Studenten haben den Spielplatz:     • An die Schüler    • und an die Schule gegeben."
17,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-goerlitz-european-peace-ride-friedensfahrt-100.html,Am 8. September beginnt die internationale Friedens-Fahrt in Görlitz,"Heute beginnt die internationale Friedens-Fahrt. Das ist eine große Radsport-Veranstaltung. Sie heißt: European Peace Ride. Das wird so aus-gesprochen: jor ru pi an pieß  reid.

200 Rad-Sportler machen bei der Veranstaltung mit. Sie fahren 500 Kilometer weit.     • Von der Stadt Görlitz        Sie ist im Bundes-Land Sachsen.     • Zur Stadt Mladá Boleslav       Das ist eine Stadt im Land Tschechien.    • Und zur Stadt Pilsen.        Das ist auch eine Stadt in Tschechien.

Die deutschen Rad-Sportler fahren mit dem Zug nach Görlitz. In dem Zug treffen sie sich mit wichtigen Menschen aus der Wirtschaft. Gemeinsam sprechen sie darüber: Welche Sachen in Zukunft wichtig sind. Zum Beispiel:     • Der Klima-Schutz,     • der Umwelt-Schutz     • Und welche Sachen die Wirtschaft anders machen muss."
18,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-leipzig-sprengung-schornstein-heizkraftwerk-fernwaerme-100.html,In der Stadt Leipzig wird am Sonntag ein hoher Schornstein gesprengt,"Im Süden von der Stadt Leipzig steht ein hoher Schornstein.Er gehört zu einem ehemaligen Braunkohle-Heizwerk.In dem Heizwerk wurde viele Jahre Braunkohle verbrannt:Damit viele Wohnungen mit Fernwärme geheizt werden konnten.

Seit dem Jahr 1996 wird in dem Heizwerk nicht mehr ge-arbeitet. Aber den Schornstein gibt es immer noch. Am 10. September soll er nun gesprengt werden. Am Sonntag um 10:00 Uhr geht es los.

Ulrike Matthes ist die Spreng-Meisterin.Sie und ihre Mitarbeiter haben 100 Kilo Sprengstoffam Schornstein fest-gemacht. Er soll zusammen-fallen wie eine Ziehharmonika.

Damit keinem Menschen etwas passiert: Wird die Polizei ein großes Gebiet um den Schornstein herum absperren. Das bedeutet: Dort dürfen von 8 Uhr bis 12 Uhr keine Menschen mehr sein.

Bei der Sprengung gibt es sehr viel Staub. Deshalb hat die Stadt-Verwaltung von Leipzig den Menschen gesagt: Sie sollen Türen und Fenster zu lassen. Damit kein Staub in die Wohnungen kommt.

Das sollen besonders die Menschen be-achten:Die in der Nähe von dem gesperrten Gebiet wohnen."
19,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-zugausfaelle-dresden-ostsachsen-bauarbeiten-100.html,Zwischen Dresden und einigen anderen Städten fallen heute Abend viele Züge aus,"In Ost-Deutschland fahren die Züge von der Zug-Firma: Trilex.Diese Zug-Firma gehört zu der Länderbahn.Einige Züge von dieser Firma fahren bei der Stadt Dresden.Aber ab heute Abend fallen viele Züge aus:Weil bei einem Stellwerk Bau-Arbeiten gemacht werden.Und diese Züge werden wahrscheinlicherst morgen Vormittag wieder fahren.

Die Züge fallen zwischen diesen Städten aus:    • Dresden und Görlitz,    • Dresden und Zittau    • und Seifhennersdorf und Hrádek nad Nisou.       Das ist eine Stadt im Land Tschechien.

Aber in Dresden fallen noch mehr Züge aus.Zum Beispiel:    • Die S-Bahn 2 zum Flughafen,    • die S-Bahn 8 nach Kamenz    • und der Zug RB33 nach Königsbrück.

Die Chefs von der Länderbahn haben gesagt:Die Menschen sollen ihre Reise verschieben.Denn für die ausgefallenen Züge gibt es nicht genug Ersatz-Busse.Und deshalb können die Menschen dortheute nicht besonders gut reisen.

Diese Züge werden heute Abend auch nicht fahren

Auch bei der Ost-Deutschen Eisenbahn-Gesellschaftfallen ab heute Abend einige Züge aus.Zum Beispiel:    • Zwischen Zittau und Görlitz    • und zwischen Weißwasser und Görlitz.Zwischen Horka und Cottbus werden die Züge heute Abendan anderen Zeiten fahren.Aber für diese Züge werden Ersatz-Busse fahren.Damit können die Menschen dann dort hin-kommen:Wo sie hin-fahren wollen."
